"author_id","name"
1,"Mark P. O. Morford"
2,"Richard Bruce Wright"
3,"Carlo D'Este"
4,"Gina Kolata"
5,"Elizabeth Wayland Barber"
6,"Amy Tan"
7,"Robert Cowley"
8,"Scott Turow"
9,"David Cordingly"
10,"Ann Beattie"
11,"David Adams Richards"
12,"Kensington"
13,"Sheila Heti"
14,"J. R. Kaiser"
15,"Jack Canfield"
16,"Loren D. Estleman"
17,"Robert Hendrickson"
18,"Julia Oliver"
19,"John Grisham"
20,"Toni Morrison"
21,"The Onion"
22,"Celia Brooks Brown"
23,"J. R. Parrish"
24,"Mary-kate &amp; Ashley Olsen"
25,"Robynn Clairday"
26,"Kathleen Duey"
27,"Rich Shapero"
28,"Michael Crichton"
29,"C.S. Lewis"
30,"Arthur Phillips"
31,"Stephen Jaramillo"
32,"Mordecai Richler"
33,"Eleanor Cooney"
34,"Charlotte Link"
35,"Richard North Patterson"
36,"Mark Salzman"
37,"Harper Lee"
38,"Laura Hillenbrand"
39,"Barbara Kingsolver"
40,"Jo Dereske"
41,"Jane Austen"
42,"Dolores Krieger"
43,"Anne Rivers Siddons"
44,"Dean Koontz"
45,"Mary Higgins Clark"
46,"Patricia Cornwell"
47,"J.D. Robb"
48,"Maeve Binchy"
49,"Laura J. Mixon"
50,"Tim LaHaye"
51,"Bernie S. Siegel M.D."
52,"Robert Penn Warren"
53,"Hans Johannes Hoefer"
54,"Mark Helprin"
55,"O. Carl Simonton M.D."
56,"Chuck Hill"
57,"David Iglehart"
58,"Larry McMurtry"
59,"Suzanne Fisher Staples"
60,"Michel Tournier"
61,"Carl Sagan"
62,"Aleksandr Zinoviev"
63,"Anne Tyler"
64,"Joseph Conrad"
65,"Deepak Chopra"
66,"Thomas Hardy"
67,"Charles Noland"
68,"Valerie Frankel"
69,"Benjamin Hoff"
70,"Niccolo Machiavelli"
71,"H. Jackson Brown Jr."
72,"Robert A. Heinlein"
73,"Philip Pullman"
74,""
75,"Michael Ondaatje"
76,"Sandra Levy Ceren"
77,"P. J. O'Rourke"
78,"Mike Gayle"
79,"Stel Pavlou"
80,"Sarah Payne Stuart"
81,"Dan Quayle"
82,"Donald F. Kettl"
83,"David Frum"
84,"Louis L'Amour"
85,"J.D. Salinger"
86,"John Berendt"
87,"Jennifer Crusie"
88,"Jane Heller"
89,"Michael Rips"
90,"Simon Mawer"
91,"William Abrahams"
92,"Robert T. Kiyosaki"
93,"Ken Follett"
94,"John F. Love"
95,"Robert G. Allen"
96,"Louis De Bernieres"
97,"Pam Proctor"
98,"Mitch Albom"
99,"Michael Jan Friedman"
100,"Glendon Swarthout"
101,"Neal Barrett Jr."
102,"David Morrell"
103,"Sandra Brown"
104,"James Patterson"
105,"Stuart Woods"
106,"Iris Johansen"
107,"Dan Brown"
108,"Joe Hutsko"
109,"Anita Shreve"
110,"Ann Rule"
111,"Lewis Grizzard"
112,"Paul Theroux"
113,"Charles Hickey"
114,"Stephen King"
115,"Ben Mezrich"
116,"Bill Hand"
117,"Tom Clancy"
118,"Dana Reeve"
119,"Roy"
120,"Barbara Metzger"
121,"Gabriel Garcia Marquez"
122,"Rebecca Wells"
123,"Tony Hillerman"
124,"Robert James Waller"
125,"Rachel Harris"
126,"Ian McEwan"
127,"Michael Lewis"
128,"Richard Zimler"
129,"Norman Jetmundsen"
130,"Lorenzo Carcaterra"
131,"Anne Frasier"
132,"Kay Hooper"
133,"Daphne Du Maurier"
134,"Nathaniel Hawthorne"
135,"Nick Page"
136,"Laura Wolf"
137,"Lois Duncan"
138,"Susan Grant"
139,"Barbara Vine"
140,"Shirley Rousseau Murphy"
141,"Jane Lindskold"
142,"Betty Smith"
143,"Cybill Shepherd"
144,"Stewart O'Nan"
145,"David Baldacci"
146,"Douglas Adams"
147,"Mary Lawson"
148,"Willa Cather"
149,"Olivia Goldsmith"
150,"Helen Fielding"
151,"Franklin W. Dixon"
152,"Lilian Jackson Braun"
153,"Holly Virden"
154,"H. Norman Wright"
155,"Piers Anthony"
156,"Ray Bradbury"
157,"Friedrich Schiller"
158,"Raymond Chandler"
159,"Paulo Coelho"
160,"Gabriel GarcÃ­a MÃ¡rquez"
161,"Fay Weldon"
162,"Arabella Weir"
163,"Kiana Davenport"
164,"Sue Townsend"
165,"Renan Demirkan"
166,"Michael Moore"
167,"Jonathan Franzen"
168,"J. D. Salinger"
169,"James Joyce"
170,"Joanna Trollope"
171,"Milan Kundera"
172,"Arundhati Roy"
173,"Robert S. Levinson"
174,"Lorna Landvik"
175,"Arthur Golden"
176,"Kent Haruf"
177,"Patricia D Cornwell"
178,"Patricia D. Cornwell"
179,"Carol J. Farley"
180,"Kathleen E. Woodiwiss"
181,"Belva Plain"
182,"Mark Haddon"
183,"Ann Brashares"
184,"Erich Segal"
185,"Elizabeth Adler"
186,"Nicholas Sparks"
187,"John Saul"
188,"Steve Thayer"
189,"Tracy Chevalier"
190,"Judith Kelman"
191,"Michael Palmer"
192,"Francine Hughes"
193,"Norman Bridwell"
194,"Frank McCourt"
195,"Malachy Mccourt"
196,"Mari Sandoz"
197,"Anne Perry"
198,"Alexander Mccall Smith"
199,"Gregory Maguire"
200,"Yann Martel"
201,"Ruth Rendell"
202,"Al Franken"
203,"Donna Tartt"
204,"John Milne"
205,"Terry Pratchett"
206,"E. B. White"
207,"J. M. Barrie"
208,"Mary O'Hara"
209,"Louise Rennison"
210,"Kenneth Grahame"
211,"Bernard Cornwell"
212,"Charles De Lint"
213,"Lord Dunsany"
214,"Georgette Heyer"
215,"Oscar Wilde"
216,"Ted Hughes"
217,"Roald Dahl"
218,"Donna Jo Napoli"
219,"A.S. Byatt"
220,"Tanuja Desai Hidier"
221,"Sophie Kinsella"
222,"Isabel Wolff"
223,"Louisa May Alcott"
224,"George Orwell"
225,"Charles Dickens"
226,"Isabel Allende"
227,"Ellen Datlow"
228,"Joseph Heller"
229,"John Galsworthy"
230,"Enid Blyton"
231,"Neil Gaiman"
232,"Alan Moore"
233,"Trudy Suggs"
234,"Tom Wolfe"
235,"Brady Udall"
236,"Homer Hickam"
237,"Pearl Abraham"
238,"Sebastian Junger"
239,"Karen Armstrong"
240,"Mary Barnard"
241,"David Brin"
242,"T. C. Boyle"
243,"Plato"
244,"Lynda Madaras"
245,"Stephen Mccauley"
246,"Isabelle Holland"
247,"Pam Conrad"
248,"Lurlene Mcdaniel"
249,"Brian Kaufman"
250,"John Darnton"
251,"Martin Schenk"
252,"David Eddings"
253,"Paul Reiser"
254,"David G. Hartwell"
255,"Dave Barry"
256,"John R. Holt"
257,"Theodore Beale"
258,"Frank M. Robinson"
259,"Mary Jane Clark"
260,"Mary Shelley"
261,"Robert Westall"
262,"Robert B. Parker"
263,"Rita Chapman Works"
264,"A. Manette Ansay"
265,"Sarah Waters"
266,"Anne Frank"
267,"Barry Lopez"
268,"Greg Palast"
269,"Andrea Kane"
270,"Nevada Barr"
271,"Margaret Maron"
272,"Edna Barker"
273,"Muriel Whitaker"
274,"John Irving"
275,"William Golding"
276,"HarperReference"
277,"LTD"
278,"Ann Patchett"
279,"Sue Monk; Sue Monk Kidd Kidd"
280,"Bob Thiele"
281,"Colleen Mccullough"
282,"Joanne Harris"
283,"Thomas Cahill"
284,"Michael Hudson"
285,"Jane Smiley"
286,"Dick Francis"
287,"Nora Roberts"
288,"Jean Marzollo"
289,"Barbara Delinsky"
290,"P. D. James"
291,"Arthur W. Upfield"
292,"Christopher Rice"
293,"Rex Stout"
294,"Joan Anderson"
295,"Vance Havner"
296,"Warren W. Wiersbe"
297,"Max Lucado"
298,"Larry Crabb"
299,"Barry Neil Kaufman"
300,"Bob Sjogren"
301,"Frederick J. Moody"
302,"Neal Pirolo"
303,"William Sleator"
304,"Antoine De Saint-Exupery"
