"Isbn"	"Title"
"9780001047976"	"Brave New World"
"9780001360464"	"Dressing (Collins Baby &amp; Toddler: Babe Board Books)"
"9780001374867"	"Baby Plays (Collins Baby &amp; Toddler)"
"9780001714601"	"I Want To Be Somebody New! (Beginner Series)"
"9780002005012"	"Clara Callan: A Novel"
"9780002005395"	"Deafening"
"9780002179683"	"Christmas In America: Images Of The Holiday Season By 100 Of America's"
"9780002215817"	"Lord Of The Far Island"
"9780002219471"	"The Way To Dusty Death"
"9780002229548"	"Cold New Dawn"
"9780002243773"	"Visible Worlds: A Novel"
"9780002244091"	"Dust To Dust: Stories"
"9780002245661"	"Forms Of Devotion: Stories And Pictures"
"9780002257589"	"Jesus And The Adman Hb"
"9780002258579"	"Resurrection Club"
"9780002261524"	"Temptation"
"9780002550567"	"Black &amp; White Cats"
"9780002712170"	"The Death Of The Body"
"9780002713276"	"Bell' Antonio"
"9780002740234"	"Keep It Simple: And Get More Out Of Life"
"9780004121123"	"Learn To Paint Watercolours (Collins Learn To Paint)"
"9780006135982"	"The Woman Destroyed"
"9780006143192"	"Snow Tiger"
"9780006276197"	"Alien At St Wilfred's"
"9780006278849"	"The Diary Of A Country Priest (Fount Classics)"
"9780006280804"	"Kundun Pb"
"9780006329527"	"The Stuarts: A Study In English Kingship (British Monarchy Series)"
"9780006369882"	"HOW NOT TO BE A PERFECT MOTHER: THE CRAFTY MOTHER'S GUIDE TO A QUIET L"
"9780006372578"	"Don't Ask The Price: The Memoirs Of The President Of Marks &amp; Spenc"
"9780006374091"	"Making It Happen: Reflections On Leadership"
"9780006385370"	"Freedom's Just Another Word"
"9780006386360"	"Flowers On My Grave: How An Ojibwa Boy's Death Helped Break The Silenc"
"9780006392460"	"Working Class Zero"
"9780006476337"	"Scorpio Illusion"
"9780006479383"	"There Will Be Wolves"
"9780006479659"	"Thirteenth Child"
"9780006480600"	"The Piano Man's Daughter"
"9780006480761"	"Lost Girls"
"9780006485933"	"DUST"
"9780006498001"	"Winston's War"
"9780006498032"	"Maid Of The Mist"
"9780006498407"	"Angelas Ashes"
"9780006510017"	"K"
"9780006511762"	"Virgin Earth"
"9780006513407"	"Making Of Minty Malone"
"9780006514589"	"Three Wise Men"
"9780006547839"	"Miss Smillas Feeling For Snow"
"9780006548188"	"A Cat Among The Pigeons"
"9780006548614"	"Life And Death In Shanghai"
"9780006550570"	"Red Leaves"
"9780006550785"	"253"
"9780006551072"	"An Ocean In Iowa"
"9780006642008"	"Life With Loopy"
"9780006643098"	"Carrot Tops And Cotton Tails"
"9780006716068"	"Harold And Bella, Jammy And Me (Lions)"
"9780006727491"	"Berry Moon (Lions)"
"9780006742937"	"Weirdstone Of Brisingamen New Ed"
"9780006749158"	"The Beast Is Waiting For You (Nightmares)"
"9780006751038"	"Butterfly Lion"
"9780006751502"	"The Secret Life Of Sally Tomato (Diary Series)"
"9780006923473"	"The Clue Of The Broken Locket (Nancy Drew, Book 11)"
"9780007100224"	"Terror Firma"
"9780007101955"	"At Ruby's"
"9780007103997"	"Witch: A Magikal Journey- A Hip Guide To Modern Witchcraft"
"9780007106134"	"To Hell In A Handcart"
"9780007106578"	"Guilty Creatures"
"9780007108640"	"Whizzard! (Tales Of The Dark Forest)"
"9780007110926"	"Billy"
"9780007119868"	"Colour Of Heaven"
"9780007134496"	"Parzival And The Stone From Heaven: A Grail Romance Retold For Our Tim"
"9780007137503"	"Wellington: The Iron Duke"
"9780007154616"	"Unless: A Novel"
"9780007155095"	"The Essential Spike Milligan"
"9780020083511"	"Battle Of The Titans: Kasparov-karpov, New York-lyons"
"9780020154402"	"The Elements Of Grammar"
"9780020178507"	"Half A Life"
"9780020191209"	"A Night At The Movies: Or, You Must Remember This (Collier Fiction)"
"9780020198505"	"World Soul"
"9780020198819"	"The Great Gatsby (A Scribner Classic)"
"9780020198901"	"Joshua: A Parable For Today"
"9780020199083"	"The Shepherd"
"9780020199090"	"Joshua In The Holy Land"
"9780020199304"	"Tender Is The Night (Reissue)"
"9780020199601"	"The Great Gatsby"
"9780020199854"	"The Love Of The Last Tycoon"
"9780020223726"	"How Green Was My Valley"
"9780020236108"	"The Funeral Makers"
"9780020264781"	"Age Of Innocence (Movie Tie-in)"
"9780020292654"	"Be Expert With Map And Compass: The Complete Orienteering Handbook"
"9780020312758"	"TOLKIEN: The Illustrated Encyclopaedia"
"9780020360759"	"Heart Songs And Other Stories"
"9780020404804"	"O Ye Jigs &amp; Juleps!"
"9780020412403"	"Little Women"
"9780020418801"	"Caddie Woodlawn"
"9780020427858"	"Over Sea, Under Stone"
"9780020433118"	"Just One Friend"
"9780020435204"	"The House Of Dies Drear (Dies Drear Chronicle)"
"9780020436904"	"The Valley Of The Fox (Collier Spymasters Series)"
"9780020437505"	"Rosie'S Walk"
"9780020442004"	"The Horse And His Boy (The Chronicles Of Narnia, No.5)"
"9780020442103"	"The Last Battle"
"9780020442202"	"The Lion, The Witch, And The Wardrobe"
"9780020442301"	"The Magician's Nephew"
"9780020442400"	"Prince Caspian: The Return To Narnia"
"9780020442608"	"The Voyage Of The Dawn Treader"
"9780020446507"	"Z For Zachariah"
"9780020447016"	"Hot Type: Our Most Celebrated Writers Introduce The Next Word In Conte"
"9780020474104"	"The Elements Of Editing: A Modern Guide For Editors And Journalists"
"9780020518600"	"Short Stories Of Ernest Hemingway (A Scribner Classic)"
"9780020518709"	"The Sun Also Rises (Scribner Classics)"
"9780020519003"	"A Farewell To Arms (A Scribner Classic)"
"9780020519102"	"The Old Man And The Sea (A Scribner Classic)"
"9780020519300"	"GREENHILLS OF AFRICA"
"9780020519607"	"A Moveable Feast (Scribner Classic)"
"9780020532101"	"Cry, The Beloved Country (A Scribner Classic)"
"9780020545507"	"The Daughter Of Time"
"9780020631507"	"The MacMillan Book Of Organic Gardening (Collier Books)"
"9780020868309"	"Mere Christianity"
"9780020868804"	"Out Of The Silent Planet"
"9780020868903"	"The Great Divorce"
"9780020869009"	"Perelandra (Space Trilogy, Bk. 2)"
"9780020960805"	"Natural Superiority Of Women"
"9780023193910"	"The Range Of Religion: An Introductory Reader"
"9780023376627"	"The Conscious Reader"
"9780023464508"	"The Consolation Of Philosophy: Boethius"
"9780023672606"	"Descartes: Discourse On Method And The Meditations"
"9780024031211"	"Freedom To Learn (3rd Edition)"
"9780024080912"	"Psychology Work Today"
"9780024103413"	"Food For Fifty: 9th Edition"
"9780024182005"	"The Elements Of Style (with Index)"
"9780025003309"	"Ten Philosophical Mistakes: Basic Errors In Modern Thought - How They "
"9780025182004"	"Edward, Edward: A Part Of His Story And Of History 1795-1816 Set Out I"
"9780025196353"	"Barbara Bush: A Memoir"
"9780025294455"	"The Wild Lawn Handbook: Alternatives To The Traditional Front Lawn"
"9780025427303"	"Politically Correct Bedtime Stories: Modern Tales For Our Life &amp; T"
"9780025473904"	"Respect For Acting"
"9780026098403"	"For Colored Girls Who Have Considered Suicide When The Rainbow Is Enuf"
"9780026125802"	"Rajac A Story"
"9780026329859"	"From The Earth: Chinese Vegetarian Cooking"
"9780026885522"	"Alf: Mission To Mars"
